,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,423.1111111,928.6956522,443.2592593,1033.043478,367.7037037,1033.043478,287.1111111,1137.391304,322.3703704,1210.434783,523.8518519,1033.043478,609.4814815,1137.391304,538.962963,1220.869565,397.9259259,1262.608696,312.2962963,1293.913043,317.3333333,1502.608696,468.4444444,1262.608696,508.7407407,1283.478261,503.7037037,1502.608696,408,918.2608696,443.2592593,907.826087,387.8518519,939.1304348,473.4814815,928.6956522
1,423.1111111,928.6956522,443.2592593,1033.043478,362.6666667,1033.043478,277.037037,1137.391304,322.3703704,1210.434783,523.8518519,1033.043478,609.4814815,1137.391304,544,1231.304348,392.8888889,1262.608696,312.2962963,1293.913043,322.3703704,1513.043478,473.4814815,1273.043478,508.7407407,1283.478261,498.6666667,1502.608696,413.037037,918.2608696,443.2592593,907.826087,387.8518519,939.1304348,473.4814815,928.6956522
2,423.1111111,928.6956522,443.2592593,1033.043478,362.6666667,1033.043478,272,1137.391304,322.3703704,1210.434783,523.8518519,1033.043478,614.5185185,1137.391304,544,1231.304348,397.9259259,1262.608696,312.2962963,1293.913043,327.4074074,1502.608696,473.4814815,1273.043478,508.7407407,1283.478261,498.6666667,1502.608696,408,918.2608696,438.2222222,907.826087,387.8518519,939.1304348,468.4444444,928.6956522
3,418.0740741,928.6956522,438.2222222,1033.043478,357.6296296,1033.043478,266.962963,1147.826087,322.3703704,1210.434783,518.8148148,1033.043478,614.5185185,1137.391304,538.962963,1231.304348,397.9259259,1252.173913,312.2962963,1293.913043,337.4814815,1513.043478,478.5185185,1262.608696,513.7777778,1283.478261,493.6296296,1502.608696,402.962963,918.2608696,433.1851852,907.826087,382.8148148,939.1304348,468.4444444,928.6956522
4,413.037037,939.1304348,438.2222222,1033.043478,357.6296296,1033.043478,261.9259259,1137.391304,317.3333333,1220.869565,518.8148148,1033.043478,614.5185185,1137.391304,538.962963,1241.73913,397.9259259,1262.608696,307.2592593,1293.913043,342.5185185,1513.043478,483.5555556,1262.608696,508.7407407,1304.347826,493.6296296,1502.608696,397.9259259,928.6956522,428.1481481,918.2608696,382.8148148,949.5652174,463.4074074,939.1304348
5,418.0740741,949.5652174,433.1851852,1033.043478,352.5925926,1043.478261,256.8888889,1147.826087,312.2962963,1220.869565,513.7777778,1022.608696,614.5185185,1137.391304,533.9259259,1241.73913,397.9259259,1252.173913,307.2592593,1293.913043,342.5185185,1513.043478,478.5185185,1262.608696,508.7407407,1293.913043,493.6296296,1502.608696,402.962963,928.6956522,433.1851852,928.6956522,377.7777778,949.5652174,463.4074074,939.1304348
6,413.037037,949.5652174,433.1851852,1033.043478,347.5555556,1043.478261,251.8518519,1137.391304,307.2592593,1220.869565,518.8148148,1033.043478,614.5185185,1137.391304,544,1241.73913,397.9259259,1252.173913,312.2962963,1293.913043,342.5185185,1513.043478,478.5185185,1252.173913,513.7777778,1293.913043,493.6296296,1502.608696,397.9259259,939.1304348,428.1481481,928.6956522,377.7777778,960,463.4074074,939.1304348
7,413.037037,960,428.1481481,1043.478261,347.5555556,1043.478261,246.8148148,1147.826087,307.2592593,1220.869565,513.7777778,1022.608696,609.4814815,1137.391304,544,1241.73913,397.9259259,1262.608696,307.2592593,1293.913043,342.5185185,1513.043478,483.5555556,1262.608696,513.7777778,1293.913043,493.6296296,1513.043478,397.9259259,939.1304348,428.1481481,939.1304348,372.7407407,960,458.3703704,949.5652174
8,408,960,428.1481481,1043.478261,342.5185185,1053.913043,246.8148148,1147.826087,307.2592593,1220.869565,513.7777778,1033.043478,609.4814815,1137.391304,549.037037,1241.73913,392.8888889,1252.173913,312.2962963,1293.913043,342.5185185,1513.043478,493.6296296,1262.608696,508.7407407,1304.347826,493.6296296,1513.043478,392.8888889,949.5652174,423.1111111,939.1304348,372.7407407,970.4347826,458.3703704,960
9,408,970.4347826,423.1111111,1043.478261,337.4814815,1053.913043,241.7777778,1137.391304,302.2222222,1220.869565,508.7407407,1033.043478,614.5185185,1137.391304,544,1241.73913,392.8888889,1252.173913,312.2962963,1293.913043,342.5185185,1513.043478,493.6296296,1252.173913,508.7407407,1314.782609,493.6296296,1513.043478,392.8888889,949.5652174,423.1111111,949.5652174,367.7037037,970.4347826,458.3703704,960
